tanggal,harga
2020-07-01,11450
2020-07-02,11500
2020-07-03,11450
2020-07-06,11450
2020-07-07,11450
2020-07-08,11450
2020-07-09,11450
2020-07-10,11450
2020-07-13,11450
2020-07-14,11450
2020-07-15,11450
2020-07-16,11450
2020-07-17,11450
2020-07-20,11450
2020-07-21,11350
2020-07-22,11450
2020-07-23,11400
2020-07-24,11550
2020-07-27,11450
2020-07-28,11450
2020-07-29,11450
2020-07-30,11450
2020-08-03,11450
2020-08-04,11450
2020-08-05,11450
2020-08-06,11450
2020-08-07,11450
2020-08-10,11450
2020-08-11,11450
2020-08-12,11450
2020-08-13,11350
2020-08-14,11450
2020-08-18,11450
2020-08-19,11450
2020-08-24,11450
2020-08-25,11450
2020-08-26,11450
2020-08-27,11450
2020-08-28,11450
2020-08-31,11450
2020-09-01,11450
2020-09-02,11450
2020-09-03,11450
2020-09-04,11450
2020-09-07,11450
2020-09-08,11450
2020-09-09,11450
2020-09-10,11450
2020-09-11,11450
2020-09-14,11450
2020-09-15,11450
2020-09-16,11450
2020-09-17,11450
2020-09-18,11450
2020-09-21,11450
2020-09-22,11450
2020-09-23,11450
2020-09-24,11450
2020-09-25,11700
2020-09-28,11800
2020-09-29,11450
2020-09-30,11450
2020-10-01,11450
2020-10-02,11450
2020-10-05,11450
2020-10-06,11750
2020-10-07,12100
2020-10-08,12100
2020-10-09,11750
2020-10-12,11700
2020-10-13,11700
2020-10-14,11350
2020-10-15,11500
2020-10-16,11550
2020-10-19,11650
2020-10-20,11650
2020-10-21,11700
2020-10-22,11650
2020-10-23,11600
2020-10-26,11600
2020-10-27,11600
2020-11-02,11600
2020-11-03,11600
2020-11-04,11300
2020-11-05,11300
2020-11-06,11300
2020-11-09,11750
2020-11-10,11750
2020-11-11,11750
2020-11-12,11650
2020-11-13,11750
2020-11-16,11750
2020-11-17,11750
2020-11-18,11750
2020-11-19,11700
2020-11-20,11700
2020-11-23,11700
2020-11-24,11700
2020-11-25,11700
2020-11-26,11700
2020-11-27,11750
2020-11-30,11700
2020-12-01,11700
2020-12-02,11700
2020-12-03,11700
2020-12-04,11700
2020-12-07,11700
2020-12-08,11700
