ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,price,label
2019-01-02,12044.42325,11862.151682039756,12230.249354725202,12044.42325,12044.42325,15.415518117894768,15.415518117894768,15.415518117894768,19.019696969951045,19.019696969951045,19.019696969951045,-3.604178852056282,-3.604178852056282,-3.604178852056282,0.0,0.0,0.0,12059.838768117894,12000.0,Actual
2019-01-03,12043.110027366965,11892.893996965577,12240.952467508405,12043.110027366965,12043.110027366965,17.633209116130494,17.633209116130494,17.633209116130494,16.977803150004203,16.977803150004203,16.977803150004203,0.6554059661262924,0.6554059661262924,0.6554059661262924,0.0,0.0,0.0,12060.743236483097,12000.0,Actual
2019-01-04,12041.796804733933,11872.227095083219,12238.852787661112,12041.796804733933,12041.796804733933,5.599099848540508,5.599099848540508,5.599099848540508,0.28276570442356724,0.28276570442356724,0.28276570442356724,5.316334144116941,5.316334144116941,5.316334144116941,0.0,0.0,0.0,12047.395904582474,12000.0,Actual
2019-01-07,12037.85713683483,11896.663147384452,12248.780435061708,12037.85713683483,12037.85713683483,35.51143541213571,35.51143541213571,35.51143541213571,14.318244215317419,14.318244215317419,14.318244215317419,21.193191196818287,21.193191196818287,21.193191196818287,0.0,0.0,0.0,12073.368572246965,12000.0,Actual
2019-01-08,12036.543914201797,11904.575580026078,12254.835892204852,12036.543914201797,12036.543914201797,37.45614806887157,37.45614806887157,37.45614806887157,10.540632141100659,10.540632141100659,10.540632141100659,26.91551592777091,26.91551592777091,26.91551592777091,0.0,0.0,0.0,12074.000062270668,12000.0,Actual
2019-01-09,12035.230691568762,11922.06952586431,12264.946384803656,12035.230691568762,12035.230691568762,51.76128238654463,51.76128238654463,51.76128238654463,19.019696969947567,19.019696969947567,19.019696969947567,32.74158541659706,32.74158541659706,32.74158541659706,0.0,0.0,0.0,12086.991973955306,12000.0,Actual
2019-01-10,12033.91746893573,11919.045388935558,12257.188900200195,12033.91746893573,12033.91746893573,55.579059208736076,55.579059208736076,55.579059208736076,16.977803150015163,16.977803150015163,16.977803150015163,38.601256058720914,38.601256058720914,38.601256058720914,0.0,0.0,0.0,12089.496528144466,12000.0,Actual
2019-01-11,12032.604246302695,11905.283571047019,12247.542519767469,12032.604246302695,12032.604246302695,44.70705357658499,44.70705357658499,44.70705357658499,0.2827657043869192,0.2827657043869192,0.2827657043869192,44.42428787219807,44.42428787219807,44.42428787219807,0.0,0.0,0.0,12077.31129987928,12000.0,Actual
2019-01-17,12024.724910504492,11943.141671610725,12289.497173703014,12024.724910504492,12024.724910504492,92.01908522844582,92.01908522844582,92.01908522844582,16.97780315002359,16.97780315002359,16.97780315002359,75.04128207842223,75.04128207842223,75.04128207842223,0.0,0.0,0.0,12116.743995732937,12000.0,Actual
2019-01-18,12023.411687871458,11930.199651585275,12274.784061158281,12023.411687871458,12023.411687871458,79.23860223542866,79.23860223542866,79.23860223542866,0.28276570439563703,0.28276570439563703,0.28276570439563703,78.95583653103303,78.95583653103303,78.95583653103303,0.0,0.0,0.0,12102.650290106887,12000.0,Actual
